,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,x,y,demand,Relative_size,geometry,node_x_send,node_y_send,node_x_recieve,node_y_recieve
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600906.7628667535,5340052.070429769,29.52657543,0.9836563962799572,POINT Z (16.35814016653378 48.20567323896389 29.52657543),16.35844755539956,48.20552179061737,16.357869283897568,48.205953527164475
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,600906.7628667535,5340276.350255838,29.52657543,1.0390898472398822,POINT Z (16.35819351076878 48.2076904860015 29.52657543),16.358508058251136,48.207319529826705,16.3574133,48.2078626
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,600906.7628667535,5340500.630081906,29.52657543,0.9975896489736285,POINT Z (16.35824686087262 48.20970773228328 29.52657543),16.35806226244813,48.20988568331993,16.35897279126015,48.208822272489186
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,600906.7628667535,5340724.909907974,29.52657543,0.94602903054434,POINT Z (16.3583002168461 48.21172497780924 29.52657543),16.358525548309498,48.21152812566819,16.357698292703084,48.21210895216113
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,600906.7628667535,5340949.189734043,29.52657543,0.97768236485355,POINT Z (16.35835357869005 48.21374222257936 29.52657543),16.358203381299024,48.2137991224289,16.3587609693725,48.214334936321116
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,601131.042692822,5339827.790603701,29.52657543,1.015392586946389,POINT Z (16.36110448873822 48.2036202978978 29.52657543),16.361782124894567,48.20279096190522,16.359774577406323,48.20387089231645
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,601131.042692822,5340052.070429769,29.52657543,1.0346254083632804,POINT Z (16.36115794553364 48.20563754317879 29.52657543),16.361816116873847,48.205098442078594,16.36200020863099,48.2052303444797
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,601131.042692822,5340276.350255838,29.52657543,1.0053185697386535,POINT Z (16.36121140821008 48.20765478770373 29.52657543),16.359923970351677,48.207960761207886,16.360005546013475,48.20674529420971
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,601131.042692822,5340500.630081906,29.52657543,0.9733303359841088,POINT Z (16.36126487676838 48.20967203147267 29.52657543),16.36122315916373,48.209567671712364,16.36063574455692,48.210392043288195
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,601131.042692822,5340724.909907974,29.52657543,1.0294524453402816,POINT Z (16.36131835120934 48.21168927448557 29.52657543),16.36135505,48.211888099999996,16.3610012,48.211621300000004
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,601131.042692822,5340949.189734043,29.52657543,1.060393493374668,POINT Z (16.36137183153381 48.21370651674246 29.52657543),16.361683246982835,48.21359045126132,16.360899864820652,48.2141204309398
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,601355.3225188906,5339603.510777633,29.52657543,0.995255625721454,POINT Z (16.36406857409964 48.20156728191843 29.52657543),16.3643411,48.201579100000004,16.36366263469762,48.201323820897365
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,601355.3225188906,5339827.790603701,29.52657543,0.9709439019295562,POINT Z (16.36412214342944 48.20358452543759 29.52657543),16.3640213844764,48.20372615781487,16.363836377876968,48.203589458226425
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,601355.3225188906,5340052.070429769,29.52657543,0.951376048743879,POINT Z (16.36417571865247 48.20560176820056 29.52657543),16.363138197599667,48.20359550402899,16.363986392756942,48.203109157765645
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,601355.3225188906,5340276.350255838,29.52657543,0.9557968780180356,POINT Z (16.36422929976953 48.20761901020727 29.52657543),16.364498773926254,48.20836925225168,16.36337527056108,48.20916733548708
